rule_id,rule_string,lambda,D,gamma,population,classification,period
0,"B/S",-10.000000,0.0000,0.0000,0,extinct,
1,"B/S0",-10.000000,1.0359,0.0000,294,fixed,1
2,"B/S1",-10.000000,0.9400,0.0000,244,fixed,1
3,"B/S01",-10.000000,1.4559,0.0000,1238,fixed,1
4,"B/S2",-10.000000,0.6112,0.0000,69,fixed,1
5,"B/S02",-10.000000,1.4136,0.0000,1055,fixed,1
6,"B/S12",-10.000000,1.4977,0.0000,1611,fixed,1
7,"B/S012",0.005493,1.6575,0.0000,2659,fixed,1
8,"B/S3",-10.000000,0.3087,0.0000,8,fixed,1
9,"B/S03",0.000000,1.2731,0.0000,643,fixed,1
10,"B/S13",0.008959,1.2653,0.0000,714,fixed,1
11,"B/S013",0.006931,1.6048,0.0000,2121,fixed,1
12,"B/S23",-10.000000,1.2874,-339092.8511,872,fixed,1
13,"B/S023",-10.000000,1.5057,-242951.5826,1585,fixed,1
14,"B/S123",0.006931,1.7054,0.0000,3504,fixed,1
15,"B/S0123",0.003466,1.7459,0.0000,3944,fixed,1
16,"B/S4",-10.000000,0.0000,0.0000,0,extinct,
17,"B/S04",0.000000,1.1430,0.0000,417,fixed,1
18,"B/S14",-10.000000,1.0902,0.0000,398,fixed,1
19,"B/S014",0.000000,1.5398,0.0000,1648,fixed,1
20,"B/S24",-10.000000,0.8512,0.0000,192,fixed,1
21,"B/S024",0.000000,1.4067,0.0000,1032,fixed,1
22,"B/S124",0.003466,1.6054,0.0000,2334,fixed,1
23,"B/S0124",0.003466,1.7013,0.0000,3205,fixed,1
24,"B/S34",-10.000000,0.6620,0.0000,94,fixed,1
25,"B/S034",-10.000000,1.2406,0.0000,614,fixed,1
26,"B/S134",0.003466,1.3190,-288810.4645,877,fixed,1
27,"B/S0134",0.006931,1.6065,-243915.9059,2173,fixed,1
28,"B/S234",0.008047,1.5887,0.0000,2514,fixed,1
29,"B/S0234",0.000000,1.6382,-199914.6714,2804,fixed,1
30,"B/S1234",0.000000,1.7489,0.0000,4236,fixed,1
31,"B/S01234",0.003466,1.7765,0.0000,4650,fixed,1
32,"B/S5",-10.000000,0.0000,0.0000,0,extinct,
33,"B/S05",0.000000,1.0790,0.0000,340,fixed,1
34,"B/S15",-10.000000,1.0316,0.0000,330,fixed,1
35,"B/S015",-10.000000,1.4908,0.0000,1388,fixed,1
36,"B/S25",-10.000000,0.6608,0.0000,90,fixed,1
37,"B/S025",0.000000,1.4138,0.0000,1058,fixed,1
38,"B/S125",-10.000000,1.5293,0.0000,1804,fixed,1
39,"B/S0125",0.003466,1.6771,0.0000,2882,fixed,1
40,"B/S35",-10.000000,0.0000,0.0000,0,extinct,
41,"B/S035",0.003466,1.2669,0.0000,632,fixed,1
42,"B/S135",-10.000000,1.2959,-380824.2702,786,fixed,1
43,"B/S0135",0.006931,1.6038,0.0000,2098,fixed,1
44,"B/S235",-10.000000,1.3317,-279791.2623,1006,fixed,1
45,"B/S0235",0.005493,1.5031,-159022.3603,1603,fixed,1
46,"B/S1235",0.005493,1.7165,0.0000,3651,fixed,1
47,"B/S01235",0.000000,1.7579,0.0000,4182,fixed,1
48,"B/S45",-10.000000,0.0000,0.0000,0,extinct,
49,"B/S045",0.000000,1.1577,0.0000,437,fixed,1
50,"B/S145",-10.000000,1.0995,0.0000,410,fixed,1
51,"B/S0145",0.000000,1.5294,0.0000,1597,fixed,1
52,"B/S245",-10.000000,0.7969,0.0000,158,fixed,1
53,"B/S0245",0.000000,1.3882,0.0000,986,fixed,1
54,"B/S1245",0.006931,1.5886,0.0000,2220,fixed,1
55,"B/S01245",0.006931,1.7041,0.0000,3226,fixed,1
56,"B/S345",-10.000000,1.0468,-272917.7078,413,fixed,1
57,"B/S0345",0.000000,1.3002,-243182.6771,819,fixed,1
58,"B/S1345",0.003466,1.3808,-267351.9402,1127,fixed,1
59,"B/S01345",0.010986,1.6101,-210484.8681,2287,fixed,1
60,"B/S2345",0.003466,1.6340,-187290.0296,2993,fixed,1
61,"B/S02345",0.003466,1.6674,-147831.3760,3202,fixed,1
62,"B/S12345",0.000000,1.7612,0.0000,4523,fixed,1
63,"B/S012345",0.000000,1.7839,0.0000,4876,fixed,1
64,"B/S6",-10.000000,0.0000,0.0000,0,extinct,
65,"B/S06",-10.000000,1.0576,0.0000,315,fixed,1
66,"B/S16",0.003466,0.9401,0.0000,242,fixed,1
67,"B/S016",0.003466,1.4692,0.0000,1295,fixed,1
68,"B/S26",-10.000000,0.6516,0.0000,75,fixed,1
69,"B/S026",0.006931,1.4325,0.0000,1117,fixed,1
70,"B/S126",-10.000000,1.5106,0.0000,1688,fixed,1
71,"B/S0126",0.003466,1.6672,0.0000,2780,fixed,1
72,"B/S36",-10.000000,0.0000,0.0000,0,extinct,
73,"B/S036",0.003466,1.2668,0.0000,628,fixed,1
74,"B/S136",-10.000000,1.2481,0.0000,678,fixed,1
75,"B/S0136",0.003466,1.6070,0.0000,2135,fixed,1
76,"B/S236",-10.000000,1.2799,-234192.7227,839,fixed,1
77,"B/S0236",0.003466,1.5003,-206741.8678,1563,fixed,1
78,"B/S1236",0.003466,1.7039,0.0000,3470,fixed,1
79,"B/S01236",0.003466,1.7500,0.0000,4040,fixed,1
80,"B/S46",-10.000000,0.0000,0.0000,0,extinct,
81,"B/S046",0.000000,1.1365,0.0000,409,fixed,1
82,"B/S146",-10.000000,1.1047,0.0000,416,fixed,1
83,"B/S0146",0.005493,1.5285,0.0000,1587,fixed,1
84,"B/S246",-10.000000,0.8454,0.0000,189,fixed,1
85,"B/S0246",0.000000,1.4133,0.0000,1068,fixed,1
86,"B/S1246",0.005493,1.5908,0.0000,2236,fixed,1
87,"B/S01246",0.000000,1.7095,0.0000,3303,fixed,1
88,"B/S346",-10.000000,0.7220,0.0000,134,fixed,1
89,"B/S0346",0.000000,1.2448,0.0000,626,fixed,1
90,"B/S1346",0.003466,1.3330,-332408.4671,914,fixed,1
91,"B/S01346",0.008047,1.5903,-276271.0834,2029,fixed,1
92,"B/S2346",0.010986,1.5846,-150009.0402,2464,fixed,1
93,"B/S02346",-10.000000,1.6375,-153265.7637,2827,fixed,1
